0.04	C
0.09	B
0.13	C
0.20	A
0.28	B
0.42	C
0.70	G
0.77	A
0.85	C
0.90	B
1.51	C
1.56	B
1.74	F
1.88	C
2.02	A
2.10	F
2.22	E
2.28	H
2.42	C
2.49	B
2.56	C
2.70	F
2.91	B
3.05	C
3.26	B
3.54	X
3.78	X
